date,jeniskantor,namakantor,cabanginduk,alamat,kodepos,operational_hour,telephone,fax,telex,atm,jenis,mapsurl
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Sunter Agung,Kelapa Gading,"Jl. Danau Sunter Agung Utara Blok D 1 No. 6 B, Sunter Agung, Jakarta Utara",14350,Beroperasi,(021) 6451120-21<br />(021) 65833281-82,(021) 6453821 ,,n,atm,https://goo.gl/maps/PnrW83vFfwQ2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Kramat Jati ,Kelapa Gading,"Jl. Raya Bogor No. 1, Unit RA 2, RT.001/RW.01, Kel. Kramat Jati, Kec. Kramat Jati, Jakarta Timur",13830,Beroperasi,(021) 8092417<br />(021) 8011644<br />(021) 80878641,(021) 8013973 ,,y,atm,https://goo.gl/maps/ibVKqekwUrJ2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Jatinegara,Kelapa Gading,"Jl. Pintu Pasar Utara No. 10-12, Kel. Balimester, Kec. Jatinegara, Jakarta Timur ",13310,Tidak Beroperasi,(021) 8191918<br />(021) 8193110<br />(021) 8197726<br />(021) 2800178,(021) 8508919,,y,atm,https://goo.gl/maps/aovmPToBfik
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Bekasi Selatan,Kelapa Gading,"Jl. Achmad Yani Kav. A4 No. 7, Ruko Kalimalang Commercial Centre, Desa Kayuringin, Bekasi",17144,Beroperasi,(021) 889658 91-93<br />(021) 8853521,(021) 8896 5890,,y,atm,https://goo.gl/maps/2acwYb7Lo332
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Cikarang,Kelapa Gading,"Komplek Ruko Cikarang Commercial Center, Blok B1 No. 23, Jl. Raya Cikarang Cibarusah Km.40 No.1, Kel. Pasir Sari, Kec. Cikarang Selatan, Bekasi",17550,Beroperasi,(021) 89835725<br />(021) 89835726<br />(021) 89835727,(021) 89835724,,y,atm,https://goo.gl/maps/vsg7VYRVnRU2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Cempaka Mas,Kelapa Gading,"Ruko Mega Grosir Cempaka Mas, Blok D1 No. 3, Jl. Letjen Suprapto, Kel. Sumur Batu, Kec. Kemayoran, Jakarta Pusat ",10640,Beroperasi,"(021) 42906693<br />
(021) 42906694<br />
(021) 42889441",(021) 42889440,,y,atm,https://goo.gl/maps/z1YDNf7H7LD2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Kelapa Gading Boulevard Raya ,Kelapa Gading,"Jl. Boulevard Raya Blok DG No. 2, Kel. Kelapa Gading Timur, Kelapa Gading",14240,Beroperasi,(021) 4527582,(021) 4527583,,y,atm,https://goo.gl/maps/oL6Rssg6y3Q2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Tebet,Kelapa Gading,"Kompleks Rukan Gajah, Jl. Dr. Sahardjo No.111, RT. 001, RW. 01, Persil No.12 & No.13, Kel. Tebet Barat, Kec. Tebet",12810,Beroperasi,"(021) 83798666<br />(021) 83788700
",(021) 83798555,,y,atm,https://goo.gl/maps/Mw1oyotWGL82
12-Jawa Tengah-Kantor Cabang,Kantor Cabang,Magelang,Magelang,"Jl. Tidar No. 17, Magelang, 12-Jawa Tengah-1987",56126,08.30 - 14.30,(0293) 362181<br />(0293) 364344<br />(0293) 365261<br />(0293) 364405-06,(0293) 364271 ,22172,y,kantor,https://goo.gl/maps/3YtsDHYaZE32
12-Jawa Tengah-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Temanggung,Magelang,"JL. KS. Tubun No. 1, Kel. Temanggung I, Kec. Temanggung",0,08.30 - 14.30,(0293) 491-555,(0293) 491-155,,y,kantor,https://goo.gl/maps/uBBXaW1tHBD2
12-Jawa Tengah-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Muntilan,Magelang,"Komp. Ruko PJKA A. II No. 3, Muntilan, Magelang",56411,08.30 - 14.30,(0293) 586508<br />(0293) 587323,(0293) 587415,,n,kantor,https://goo.gl/maps/m9yTr32UmpF2
12-Jawa Tengah-ATM,Kantor Cabang,Magelang,Magelang,"Jl. Tidar No. 17, Magelang, 12-Jawa Tengah-1987",56126,Beroperasi,(0293) 362181<br />(0293) 364344<br />(0293) 365261<br />(0293) 364405-06,(0293) 364271 ,22172,y,atm,https://goo.gl/maps/3YtsDHYaZE32
12-Jawa Tengah-ATM,Kantor Cabang Pembantu,Temanggung,Magelang,"JL. KS. Tubun No. 1, Kel. Temanggung I, Kec. Temanggung",0,Beroperasi,(0293) 491-555,(0293) 491-155,,y,atm,https://goo.gl/maps/uBBXaW1tHBD2
12-Jawa Tengah-ATM,Kantor Cabang Pembantu,Muntilan,Magelang,"Komp. Ruko PJKA A. II No. 3, Muntilan, Magelang",56411,Beroperasi,(0293) 586508<br />(0293) 587323,(0293) 587415,,n,atm,https://goo.gl/maps/m9yTr32UmpF2
12-Sulawesi-Kantor Cabang,Kantor Cabang,Makassar,Makassar,Jl. 12-Sulawesi-1987 No. 83,90174,08.30 - 14.30,(0411) 321421,(0411) 315702 <br />(0411) 319457,,y,kantor,https://goo.gl/maps/NqKHhn8BfrE2
12-Sulawesi-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Bandang,Makassar,"Jl. Bandang No. 50 B, Makassar",90156,Tutup Sementara,(0411) 326694,(0411) 317445,,n,kantor,https://goo.gl/maps/eVQdTqWTXR82
12-Sulawesi-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Panakkukang,Makassar,"Jl. Pengayoman No. 48, Makassar",90231,08.30 - 14.30,(0411) 421921<br />(0411) 433017,(0411) 458260,,y,kantor,https://goo.gl/maps/viVmtS6NzWB2
12-Sulawesi-ATM,Kantor Cabang,Makassar,Makassar,Jl. 12-Sulawesi-1987 No. 83,90174,Beroperasi,(0411) 321421,(0411) 315702 <br />(0411) 319457,,y,atm,https://goo.gl/maps/NqKHhn8BfrE2
12-Sulawesi-ATM,Kantor Cabang Pembantu,Panakkukang,Makassar,"Jl. Pengayoman No. 48, Makassar",90231,Beroperasi,(0411) 421921<br />(0411) 433017,(0411) 458260,,y,atm,https://goo.gl/maps/viVmtS6NzWB2
12-Jawa Timur-Kantor Cabang,Kantor Cabang,Malang,Malang,"Jl. Basuki Rahmat No. 63, Malang",60261,08.30 - 14.30,(0341) 342333,(0341) 342572,31185,y,kantor,https://goo.gl/maps/Z9tDAvkU33D2
12-Jawa Timur-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Sutan Syahrir,Malang,"Jl. Sutan Syahrir No. 51, Kel. Sukoharjo, Kec. Klojen
",0,08.30 - 14.30,(0341) 343230<br />(0341) 365096<br />(0341) 365119,(0341) 365118 ,,y,kantor,https://goo.gl/maps/L8Nwv8E9ieq
12-Jawa Timur-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Blimbing,Malang,"Kompleks Pertokoan (Ruko) Letjend S. Parman 56, Blok A-6 Kel. Purwantoro, Kec. Blimbing, Malang
",65111,08.30 - 14.30,(0341) 405 100,(0341) 418 441,,y,kantor,https://goo.gl/maps/bXWoraohyGA2
12-Jawa Timur-ATM,Kantor Cabang,Malang,Malang,"Jl. Basuki Rahmat No. 63, Malang",60261,Beroperasi,(0341) 342333,(0341) 342572,31185,y,atm,https://goo.gl/maps/Z9tDAvkU33D2
12-Jawa Timur-ATM,Kantor Cabang Pembantu,Sutan Syahrir,Malang,"Jl. Sutan Syahrir No. 51, Kel. Sukoharjo, Kec. Klojen
",0,Beroperasi,(0341) 343230<br />(0341) 365096<br />(0341) 365119,(0341) 365118 ,,y,atm,https://goo.gl/maps/L8Nwv8E9ieq
12-Jawa Timur-ATM,Kantor Cabang Pembantu,Blimbing,Malang,"Kompleks Pertokoan (Ruko) Letjend S. Parman 56, Blok A-6 Kel. Purwantoro, Kec. Blimbing, Malang
",65111,Beroperasi,(0341) 405 100,(0341) 418 441,,y,atm,https://goo.gl/maps/bXWoraohyGA2
12-Sumatera-Kantor Wilayah,Kantor Wilayah,Kantor Wilayah 2,Medan,"Jl. Palang Merah No. 30, Lantai 3, Kel. Kesawan, Kec. Medan Barat, Medan",20231,08.30 - 14.30,(061) 4156574,(061) 4148556<br />(061) 4154793 <br />(061) 4560116,,,kantor,https://goo.gl/maps/JTeao9tkgCM2
12-Sumatera-Kantor Cabang,Kantor Cabang,Medan,Medan,"Jl. Palang Merah No. 30, Kel. Kesawan, Kec. Medan Barat, Medan",20231,08.30 - 14.30,(061) 4156574,(061) 4148556<br />(061) 4154793<br />(061) 4560116,51154<br />51325 ,y,kantor,https://goo.gl/maps/spNk7zJSDYD2
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tomang Elok,Medan,"Jl. Jend. Gatot Subroto, Kompleks Tomang Elok Blok A No. 55, Sei Sikambing, Medan ",11520,08.30 - 14.30,(061) 8455405<br />(061) 8455785<br />(061) 8455635,(061) 8455656 ,,y,kantor,https://goo.gl/maps/Q1jGgnGajar
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Central Pasar,Medan,"Jl. Letjen Haryono MT , Central Pasar Medan Lt. 1, Blok I No. 1 - 2 - 17 - 18, Medan",20231,Tutup Sementara,(061) 4531929<br />(061) 4531611,(061) 4531737 ,,y,kantor,https://goo.gl/maps/33m8MYJek512
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Asia,Medan,"Jl. Asia No. 132/172, Medan, Kel. Sei Rengas I, Kec. Medan Kota, Medan",20214,08.30 - 14.30,(061) 7368623<br />(061) 7368653,(061) 7368932 ,,y,kantor,https://goo.gl/maps/ofaUDExEFa62
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Medan Business Centre,Medan,"Komplek Medan Business Centre (MBC), Jl. Let. Jend. S. Parman, Blok A No. 16, Kel. Petisah Tengah, Kec. Medan Petisah, Medan",20112,08.30 - 14.30,(061) 4148167<br />(061) 4148724<br />(061) 4148743,(061) 4148295,,y,kantor,https://goo.gl/maps/dtBo6DwbQpN2
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pulo Brayan,Medan,"Jl. K.L. Yos Sudarso No.18 A, Kel. Pulo Brayan Kota, Kec. Medan Barat, Medan",20116,Tutup Sementara,(061) 6611688<br />(061) 6611911,(061) 6636922,,y,kantor,https://goo.gl/maps/cnyhvSnLaaF2
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Petisah,Medan,"Jl. Nibung Utama No. 10, Kel. Petisah Tengah, Kec. Medan Petisah, Medan",20112,08.30 - 14.30,(061) 4554322<br />(061) 4143383,(061) 4530251,,y,kantor,https://goo.gl/maps/pxNirAKfbZT2
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Krakatau,Medan,"Jl. Gunung Krakatau No. 111-C, Kel. Glugur Darat I, Kec. Medan Timur, Medan",20725,08.30 - 14.30,(061) 6620991<br />(061) 6623079<br />(061) 6632211,(061) 6643483,,y,kantor,https://goo.gl/maps/DLqf7pRCUM42
12-Sumatera-ATM,Kantor Cabang,Medan,Medan,"Jl. Palang Merah No. 30, Kel. Kesawan, Kec. Medan Barat, Medan",20231,Beroperasi,(061) 4156574,(061) 4148556<br />(061) 4154793<br />(061) 4560116,51154<br />51325 ,y,atm,https://goo.gl/maps/spNk7zJSDYD2
12-Sumatera-ATM,Kantor Cabang Pembantu,Tomang Elok,Medan,"Jl. Jend. Gatot Subroto, Kompleks Tomang Elok Blok A No. 55, Sei Sikambing, Medan ",11520,Beroperasi,(061) 8455405<br />(061) 8455785<br />(061) 8455635,(061) 8455656 ,,y,atm,https://goo.gl/maps/Q1jGgnGajar
12-Sumatera-ATM,Kantor Cabang Pembantu,Asia,Medan,"Jl. Asia No. 132/172, Medan, Kel. Sei Rengas I, Kec. Medan Kota, Medan",20214,Beroperasi,(061) 7368623<br />(061) 7368653,(061) 7368932 ,,y,atm,https://goo.gl/maps/ofaUDExEFa62
12-Sumatera-ATM,Kantor Cabang Pembantu,Medan Business Centre,Medan,"Komplek Medan Business Centre (MBC), Jl. Let. Jend. S. Parman, Blok A No. 16, Kel. Petisah Tengah, Kec. Medan Petisah, Medan",20112,Beroperasi,(061) 4148167<br />(061) 4148724<br />(061) 4148743,(061) 4148295,,y,atm,https://goo.gl/maps/dtBo6DwbQpN2
12-Sumatera-ATM,Kantor Cabang Pembantu,Pulo Brayan,Medan,"Jl. K.L. Yos Sudarso No.18 A, Kel. Pulo Brayan Kota, Kec. Medan Barat, Medan",20116,Beroperasi,(061) 6611688<br />(061) 6611911,(061) 6636922,,y,atm,https://goo.gl/maps/cnyhvSnLaaF2
12-Sumatera-ATM,Kantor Cabang Pembantu,Petisah,Medan,"Jl. Nibung Utama No. 10, Kel. Petisah Tengah, Kec. Medan Petisah, Medan",20112,Beroperasi,(061) 4554322<br />(061) 4143383,(061) 4530251,,y,atm,https://goo.gl/maps/pxNirAKfbZT2
12-Sumatera-ATM,Kantor Cabang Pembantu,Krakatau,Medan,"Jl. Gunung Krakatau No. 111-C, Kel. Glugur Darat I, Kec. Medan Timur, Medan",20725,Beroperasi,(061) 6620991<br />(061) 6623079<br />(061) 6632211,(061) 6643483,,y,atm,https://goo.gl/maps/DLqf7pRCUM42
12-Sumatera-Kantor Cabang,Kantor Cabang,Medan Djuanda,Medan Djuanda,"Jl. Ir. H. Djuanda No. 20i, Kel. Sukadamai, Kec. Medan Polonia, Medan, 20157",20157,08.30 - 14.30,(061) 8881 5959,(061) 4200 3822,,y,kantor,https://goo.gl/maps/E7s1JkuVUZv
12-Sumatera-ATM,Kantor Cabang,Medan Djuanda,Medan Djuanda,"Jl. Ir. H. Djuanda No. 20i, Kel. Sukadamai, Kec. Medan Polonia, Medan, 20157",20157,Beroperasi,(061) 8881 5959,(061) 4200 3822,,y,atm,https://goo.gl/maps/E7s1JkuVUZv
12-Sumatera-Kantor Cabang,Kantor Cabang,Palembang,Palembang,"Jl. Mesjid Lama No. 48-50, Palembang, 12-Sumatera-1987 Selatan",30125,08.30 - 14.30,(0711) 310965,(0711) 313216<br />(0711) 316663<br />(0711) 361150<br />(0711) 357816,,y,kantor,https://goo.gl/maps/uow5KEJw5952
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Jend. Sudirman ,Palembang,"Jl. Jend. Sudirman No. 1031 D-E, Palembang",30126,08.30 - 14.30,(0711) 358682 <br />(0711) 358411<br />(0711) 358572<br />(0711) 364952,(0711) 354891,,y,kantor,https://goo.gl/maps/UFznTaL4T4n
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,R. Sukamto,Palembang,"Jl. R. Sukamto No. 106 C, RT.008/004, Kel. 8 Ilir, Kec. Ilir Timur II, Kotamadya Palembang
",30114,08.30 - 14.30,(0711) 369 843,(0711) 367 072,,y,kantor,https://goo.gl/maps/d7YuKeGmwe92
12-Sumatera-ATM,Kantor Cabang,Palembang,Palembang,"Jl. Mesjid Lama No. 48-50, Palembang, 12-Sumatera-1987 Selatan",30125,Beroperasi,(0711) 310965,(0711) 313216<br />(0711) 316663<br />(0711) 361150<br />(0711) 357816,,y,atm,https://goo.gl/maps/uow5KEJw5952
12-Sumatera-ATM,Kantor Cabang Pembantu,Jend. Sudirman ,Palembang,"Jl. Jend. Sudirman No. 1031 D-E, Palembang",30126,Tidak Beroperasi,(0711) 358682 <br />(0711) 358411<br />(0711) 358572<br />(0711) 364952,(0711) 354891,,y,atm,https://goo.gl/maps/UFznTaL4T4n
12-Sumatera-ATM,Kantor Cabang Pembantu,R. Sukamto,Palembang,"Jl. R. Sukamto No. 106 C, RT.008/004, Kel. 8 Ilir, Kec. Ilir Timur II, Kotamadya Palembang
",30114,Beroperasi,(0711) 369 843,(0711) 367 072,,y,atm,https://goo.gl/maps/d7YuKeGmwe92
12-Sumatera-Kantor Cabang,Kantor Cabang,Pekanbaru,Pekanbaru,"Jl. Jend. Sudirman No. 442, Pekanbaru, Riau",28116,08.30 - 14.30,(0761) 21168<br />(0761) 21116<br />(0761) 20879<br />(0761) 848053,(0761) 848052,,y,kantor,https://goo.gl/maps/MKFgLQ3Vd7S2
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Nangka ,Pekanbaru,"Jl. Nangka/Tuanku Tambusai No. 181, Pekanbaru, Riau",28125,08.30 - 14.30,(0761) 31308-9<br />(0761) 20440,(0761) 37317,,y,kantor,https://goo.gl/maps/cpApUGNA3bB2
12-Sumatera-ATM,Kantor Cabang,Pekanbaru,Pekanbaru,"Jl. Jend. Sudirman No. 442, Pekanbaru, Riau",28116,Beroperasi,(0761) 21168<br />(0761) 21116<br />(0761) 20879<br />(0761) 848053,(0761) 848052,,y,atm,https://goo.gl/maps/MKFgLQ3Vd7S2
12-Sumatera-ATM,Kantor Cabang Pembantu,Nangka ,Pekanbaru,"Jl. Nangka/Tuanku Tambusai No. 181, Pekanbaru, Riau",28125,Beroperasi,(0761) 31308-9<br />(0761) 20440,(0761) 37317,,y,atm,https://goo.gl/maps/cpApUGNA3bB2
12-Kalimantan-Kantor Cabang,Kantor Cabang,Pontianak,Pontianak,"Jl. HOS Cokroaminoto No. 266/A, Kota Pontianak",78117,08.30 - 14.30,(0561) 732600<br />(0561) 734656,(0561) 736282,,y,kantor,https://goo.gl/maps/EbK4kiP5GT12
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Sui Raya,Pontianak,"Jl. Adi Sucipto Km 7,3 , Sungai Raya",79171,Tutup Sementara,(0561) 721770 ,,,n,kantor,https://goo.gl/maps/t4dWGfZCsX72
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Sultan Muhammad,Pontianak,"Jl. Sultan Muhammad No. 175, Kel. Benua Melayu Laut, Kec. Pontianak Selatan, Pontianak",78123,08.30 - 14.30,(0561) 731583,(0561) 731582,,n,kantor,https://goo.gl/maps/2Y1zcrNVjsL2
12-Kalimantan-ATM,Kantor Cabang,Pontianak,Pontianak,"Jl. HOS Cokroaminoto No. 266/A, Kota Pontianak",78117,Beroperasi,(0561) 732600<br />(0561) 734656,(0561) 736282,,y,atm,https://goo.gl/maps/EbK4kiP5GT12
12-Kalimantan-ATM,Kantor Cabang Pembantu,Sultan Muhammad,Pontianak,"Jl. Sultan Muhammad No. 175, Kel. Benua Melayu Laut, Kec. Pontianak Selatan, Pontianak",78123,Beroperasi,(0561) 731583,(0561) 731582,,n,atm,https://goo.gl/maps/2Y1zcrNVjsL2
12-Jawa Tengah-Kantor Cabang,Kantor Cabang,Purwokerto,Purwokerto,"Jl. Jend. Sudirman No. 330, Purwokerto",53116,08.30 - 14.30,(0281) 631464<br />(0281) 623466<br />(0281) 635996<br />(0281) 630942<br />(0281) 630259<br />(0281) 635950,(0281) 636747<br />(0281) 640945,,y,kantor,https://goo.gl/maps/Kb3UsL7uXrs
12-Jawa Tengah-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pasar Wage,Purwokerto,"Ruko Gede - Kawasan Pasar Wage Blok A No. 1, Jl. Jend. Sudirman, Kel. Purwokerto Lor, Kec. Purwokerto Timur, Kab. Banyumas, Purwokerto",53114,08.30 - 14.30,(0281) 625508,(0281) 625745,,y,kantor,https://goo.gl/maps/5CDJYHTbj8p
12-Jawa Tengah-ATM,Kantor Cabang,Purwokerto,Purwokerto,"Jl. Jend. Sudirman No. 330, Purwokerto",53116,Beroperasi,(0281) 631464<br />(0281) 623466<br />(0281) 635996<br />(0281) 630942<br />(0281) 630259<br />(0281) 635950,(0281) 636747<br />(0281) 640945,,y,atm,https://goo.gl/maps/Kb3UsL7uXrs
12-Jawa Tengah-ATM,Kantor Cabang Pembantu,Pasar Wage,Purwokerto,"Ruko Gede - Kawasan Pasar Wage Blok A No. 1, Jl. Jend. Sudirman, Kel. Purwokerto Lor, Kec. Purwokerto Timur, Kab. Banyumas, Purwokerto",53114,Beroperasi,(0281) 625508,(0281) 625745,,y,atm,https://goo.gl/maps/5CDJYHTbj8p
12-Jabodetabek-Kantor Cabang,Kantor Cabang,Radio Dalam,Radio Dalam,"Jl. Radio Dalam No. 9 A, Kebayoran Baru",12140,08.30 - 14.30,(021) 7252647                                                           ,(021) 7252648,,y,kantor,https://goo.gl/maps/aN7voN3hcnH2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pasar Minggu ,Radio Dalam,"Jl. Raya Ragunan No. 11, Pasar Minggu, Jakarta Selatan",12520,08.30 - 14.30,(021) 7804680<br />(021) 78831562<br />(021) 7890439,(021) 7890438,,y,kantor,https://goo.gl/maps/pHPMYoLX4tk
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Permata Hijau,Radio Dalam,"Grand ITC Permata Hijau - Emerald No. 10, Jl. Letjen Soepeno (Arteri Permata Hijau), Kel. Grogol Utara, Kec. Kebayoran Lama, Jakarta Selatan",12210,08.30 - 14.30,(021) 53663111<br />(021) 53664376,(021) 53663222,,y,kantor,https://goo.gl/maps/ertixLNEjGE2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pondok Indah ,Radio Dalam,"Jl. Metro Pondok Indah Sektor II, Blok UA Kav.46-47, Jakarta Selatan",12310,08.30 - 14.30,(021) 75906165<br />(021) 75900178,(021) 75900185 ,,y,kantor,https://goo.gl/maps/rG4YyEiZU3P2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Fatmawati,Radio Dalam,"Jl. Fatmawati Raya No. 1, RT.001/RW.04, Jakarta Selatan",12410,Tutup Sementara,(021) 7504770<br />(021) 7664823<br />(021) 7661367,(021) 7661333,,y,kantor,https://goo.gl/maps/RpinFeF5ort
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Depok,Radio Dalam,"Pertokoan ITC Depok No. 48, Jalan Margonda Raya No.56, Kel. Depok, Kec. Pancoran Mas, Kota Depok",16431,08.30 - 14.30,(021) 7765236<br />(021) 77202916 - 18 ,(021) 7765237,,y,kantor,https://goo.gl/maps/ptcu18yME9D2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Panglima Polim,Radio Dalam,"Jl. Panglima Polim Raya No. 18A, B, C, Jakarta Selatan",12160,Tutup Sementara,(021) 7251603<br />(021) 7202668<br />(021) 7251655,(021) 7222187,,y,kantor,https://goo.gl/maps/SmDSo3QFq1o
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Wolter Monginsidi,Radio Dalam,"Gedung One Wolter Place, Jl. Wolter Monginsidi No. 63 B, Kel. Rawa Barat, Kec. Kebayoran Baru, Jakarta Selatan",12180,Tutup Sementara,(021) 7278 6262,(021) 739 4880,,y,kantor,https://goo.gl/maps/wQef7syjdp22
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Bintaro Sektor 3A,Radio Dalam,"Rukan Bintaro Blok A.6 (Rukan depan Bintaro Plaza), Sektor 3A, Kel. Pondok Karya, Kec. Pondok Aren, Kota Tangerang Selatan",15225,08.30 - 14.30,(021) 736 2898,(021) 736 2897,,y,kantor,https://goo.gl/maps/q7RVpR5GXEK2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kemang,Radio Dalam,"Jl. Kemang Raya No. 24 A, Kel. Bangka, Kec. Mampang Prapatan",12730,08.30 - 14.30,(021) 7179 4084<br />(021) 7179 4085<br />(021) 7179 4086,(021) 7179-4083,,y,kantor,https://goo.gl/maps/xUf6PKxh8aq
12-Jabodetabek-ATM,Kantor Cabang,Radio Dalam,Radio Dalam,"Jl. Radio Dalam No. 9 A, Kebayoran Baru",12140,Beroperasi,(021) 7252647                                                           ,(021) 7252648,,y,atm,https://goo.gl/maps/aN7voN3hcnH2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pasar Minggu ,Radio Dalam,"Jl. Raya Ragunan No. 11, Pasar Minggu, Jakarta Selatan",12520,Beroperasi,(021) 7804680<br />(021) 78831562<br />(021) 7890439,(021) 7890438,,y,atm,https://goo.gl/maps/pHPMYoLX4tk
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Permata Hijau,Radio Dalam,"Grand ITC Permata Hijau - Emerald No. 10, Jl. Letjen Soepeno (Arteri Permata Hijau), Kel. Grogol Utara, Kec. Kebayoran Lama, Jakarta Selatan",12210,Beroperasi,(021) 53663111<br />(021) 53664376,(021) 53663222,,y,atm,https://goo.gl/maps/ertixLNEjGE2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pondok Indah ,Radio Dalam,"Jl. Metro Pondok Indah Sektor II, Blok UA Kav.46-47, Jakarta Selatan",12310,Beroperasi,(021) 75906165<br />(021) 75900178,(021) 75900185 ,,y,atm,https://goo.gl/maps/rG4YyEiZU3P2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Fatmawati,Radio Dalam,"Jl. Fatmawati Raya No. 1, RT.001/RW.04, Jakarta Selatan",12410,Beroperasi,(021) 7504770<br />(021) 7664823<br />(021) 7661367,(021) 7661333,,y,atm,https://goo.gl/maps/RpinFeF5ort
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Depok,Radio Dalam,"Pertokoan ITC Depok No. 48, Jalan Margonda Raya No.56, Kel. Depok, Kec. Pancoran Mas, Kota Depok",16431,Beroperasi,(021) 7765236<br />(021) 77202916 - 18 ,(021) 7765237,,y,atm,https://goo.gl/maps/ptcu18yME9D2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Panglima Polim,Radio Dalam,"Jl. Panglima Polim Raya No. 18A, B, C, Jakarta Selatan",12160,Beroperasi,(021) 7251603<br />(021) 7202668<br />(021) 7251655,(021) 7222187,,y,atm,https://goo.gl/maps/SmDSo3QFq1o
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Wolter Monginsidi,Radio Dalam,"Gedung One Wolter Place, Jl. Wolter Monginsidi No. 63 B, Kel. Rawa Barat, Kec. Kebayoran Baru, Jakarta Selatan",12180,Beroperasi,(021) 7278 6262,(021) 739 4880,,y,atm,https://goo.gl/maps/wQef7syjdp22
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Bintaro Sektor 3A,Radio Dalam,"Rukan Bintaro Blok A.6 (Rukan depan Bintaro Plaza), Sektor 3A, Kel. Pondok Karya, Kec. Pondok Aren, Kota Tangerang Selatan",15225,Beroperasi,(021) 736 2898,(021) 736 2897,,y,atm,https://goo.gl/maps/q7RVpR5GXEK2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Kemang,Radio Dalam,"Jl. Kemang Raya No. 24 A, Kel. Bangka, Kec. Mampang Prapatan",12730,Beroperasi,(021) 7179 4084<br />(021) 7179 4085<br />(021) 7179 4086,(021) 7179-4083,,y,atm,https://goo.gl/maps/xUf6PKxh8aq
12-Kalimantan-Kantor Cabang,Kantor Cabang,Samarinda,Samarinda,"Jl. Pangeran Diponegoro No. 68-70, Samarinda, 12-Kalimantan-1987 Timur",75112,08.30 - 14.30,(0541) 732492-95-97<br />(0541) 749516-17-18,(0541) 732490,,y,kantor,https://goo.gl/maps/SHCDcW5ZdgK2
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Ruko Permata Kaltim,Samarinda,"Jl. Pahlawan (Ruko Permata Kaltim No.3B), Samarinda",75123,Tutup Sementara,(0541) 200138<br />(0541) 746807<br />(0541) 745082,(0541) 201961,,n,kantor,https://goo.gl/maps/c3mRNTG24mt
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Yos Sudarso,Samarinda,"Jl. Yos Sudarso No. 36, Samarinda",75112,08.30 - 14.30,(0541) 731558<br />(0541) 741586,(0541) 742274,,n,kantor,https://goo.gl/maps/ser2qkt4ppn
